Value,Count,WHRALL,LIFE_FORM,WHRNUM,WHRNAME,WHRTYPE,WHRSIZE,WHRDENSITY,WHR10NUM,WHR10NAME,WHR13NUM,WHR13NAME,SOURCE_NAM,SOURCE_YEA
1,944007.00000000000,KMC4D,CONIFER,27,Klamath Mixed Conifer,KMC,4,D,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
2,192089.00000000000,RFR5D,CONIFER,45,Red Fir,RFR,5,D,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
3,970153.00000000000,KMC5D,CONIFER,27,Klamath Mixed Conifer,KMC,5,D,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
4,121047.00000000000,RFR4D,CONIFER,45,Red Fir,RFR,4,D,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
5,759575.00000000000,DFR5D,CONIFER,14,Douglas Fir,DFR,5,D,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
6,129338.00000000000,RFR4M,CONIFER,45,Red Fir,RFR,4,M,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
7,1072547.00000000000,DFR5D,CONIFER,14,Douglas Fir,DFR,5,D,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
8,377653.00000000000,WFR5D,CONIFER,58,White Fir,WFR,5,D,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
9,1746.00000000000,RFR2D,CONIFER,45,Red Fir,RFR,2,D,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE,2007
10,767170.00000000000,DFR4D,CONIFER,14,Douglas Fir,DFR,4,D,30.00000000000,Conifer,31,Conifer Forest,CALVEG-NorthCoastNE/CALFIRE update,2007
